run,rand-seed,ticks-end,%NC-start,%NC-end,%monitor-start,%monitor-end,resource-energy,mean-agent-energy,modal-institution,number-institutions-established,institution-formed
1,989300962,63,31,0,23,10,-506.411480960194,53.88128551538855,[[19 1]],1,50
2,1850320263,110,17,0,19,7.000000000000001,-1349.7296488809175,23.81731802339614,[[17 1]],1,50
3,434430203,78,23,0,24,9,-272.2527405138453,85.97893135752577,[[18 1]],1,50
4,2121112138,76,18,0,14.000000000000002,1,-406.56456948027653,56.87825553182392,[[18 1]],1,50
5,-1385742748,2000,17,0,28.000000000000004,16,9482.388286315567,9.34772602643275,[[17 0]],1,50
6,-27601986,2000,22,0,22,18,9308.78649140592,9.067486337139496,[[18 0]],1,50
7,1599051391,72,18,0,27,13,-161.50621396879404,61.17739734278597,[[18 1]],1,50
8,770715807,2000,22,0,22,16,9521.853313179332,10.155828823774604,[[19 0]],1,50
9,1582915082,66,16,0,17,9,-1143.3352738675726,80.90841043142512,[[19 1]],1,50
10,-1002003065,2000,25,0,23,18,9234.253237310812,10.14454339454179,[[19 0]],2,50
11,-502388391,71,23,0,20,6,-1274.153721283252,77.59000932721138,[[18 1]],1,50
12,546162562,2000,11,0,17,17,9443.509191319908,9.679446828420897,[[19 0]],1,50
13,1443431108,68,21,0,17,7.000000000000001,-1015.9686218302188,82.15941072309002,[[19 1]],1,50
14,2087711265,2000,25,0,17,13,9831.712516981486,10.81333564654621,[[19 0]],1,50
15,-1341095327,101,27,0,19,0,-1537.7562951357966,-26.523810046275194,[[18 0]],1,50
16,-218583906,109,19,0,21,0,-1271.1392218262972,15.596174200134273,[[17 1]],1,50
17,-1714623643,73,15,0,22,0,-144.46649150971734,90.52779258152069,[],0,50
18,2055658912,161,17,0,18,1,-235.88231394230735,50.248604782385954,[[17 1]],2,50
19,-1455058730,2000,18,0,18,15,9615.301136312259,9.909254786653932,[[18 0]],1,50
20,1254114089,62,23,0,24,8,-121.61726801817886,51.63907321435143,[[19 1]],1,50
21,1204144127,2000,23,0,24,12,9966.838838436706,10.55130642981433,[[19 0]],1,50
22,-439319000,2000,23,0,19,17,9413.502394767793,9.976999506404235,[[19 0]],1,50
23,660686719,2000,21,0,22,18,9258.416713024657,9.892495803799081,[[19 0]],1,50
24,1509473481,45,23,0,16,5,-556.0757407064112,31.19799204362682,[],0,50
25,-436013262,73,19,0,24,9,-310.29551913132127,59.46292728513232,[[18 1]],1,50
26,844802398,66,18,0,18,11,-709.8847856111869,101.8630671764587,[],0,50
27,-483500816,74,16,0,22,11,-903.8001659638069,58.175331981613205,[[18 1]],1,50
28,-1593334688,2000,14.000000000000002,0,16,16,9504.110228847905,10.373459033571068,[[19 0]],1,50
29,309386674,62,14.000000000000002,0,21,0,-1163.1720474111191,62.61383202022109,[],0,50
30,1503268400,68,20,0,22,12,-368.0549835649711,78.7515481663292,[[19 1]],1,50
"% depleted 30 runs ",0.6333333333333333
Std error AE 30 runs,6.113286691916584
Std error RE 30 runs,917.0041760609182
Mean AE 30 runs,40.19518114250811
Mean RE 30 runs,3037.6201748098724
